route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L656D18,18,656,"Hovorčovice - Bořanovice - Zlonín - Hovorčovice",3,
L657D10,10,657,"Postřižín - Brandýs n.L.-St.Boleslav",3,
L658D18,18,658,"Neratovice - Veliká Ves - Odolena Voda",3,
L659D11,11,659,"Kostelec n.Č.l. - Krupá - Český Brod",3,
L660D11,11,660,"Český Brod - Kostelec n.Č.l.",3,
L661D13,13,661,"Český Brod - Starý Vestec - Lysá n.L.",3,
L662D13,13,662,"Kouřim - Český Brod - Čelákovice",3,
L663D10,10,663,"Újezdec - Kralupy n.Vlt.,Žel.st.",3,
L664D21,21,664,"Černošice - Vonoklasy",3,
L665D21,21,665,"Černošice - Karlík",3,
L666D10,10,666,"Brandýs n.L.-St. Boleslav - Káraný",3,
L667D10,10,667,"Brandýs n.L.-St.Boleslav - Skorkov - Brandýs n.L.-St.Boleslav",3,
L668D10,10,668,"Mšeno - Byšice - Všetaty",3,
L669D10,10,669,"Mečeříž - Dřísy - Brandýs n.L.-St. Boleslav,nádraží",3,
L670D10,10,670,"Brandýs n.L.-St. Boleslav - Sudovo Hlavno/Mečeříž",3,
L671D10,10,671,"Brandýs n.L.-St. Boleslav - Přezletice - Jenštejn",3,
L6D1,1,6,"Palmovka - Kubánské náměstí",0,
L741D13,13,X480,"Lysá nad Labem - Stratov - Lysá nad Labem",3,
L742D17,17,742,"Zvole - Vrané n.Vlt.",3,
L782D1,1,X-S22,"Lysá nad Labem - Milovice",3,
L790D1,1,AE,"Letiště - Hlavní nádraží",3,
L799D1,1,H1,"Chodov - OC Černý Most",3,
L7D1,1,7,"Radlická - Černokostelecká",0,
L803D1,1,X3,"Dvorce - Polikl. Budějovická - Dvorce",3,
