stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
U4231Z2,"Kralupy n.Vlt.,Třebízského-věžáky",50.245959,14.316589,0,,0
U1689Z1,"Velké Popovice,Lojovice",49.89747,14.649429,0,,0
U1688Z2,"Velké Popovice,rozc.Krámský",49.909781,14.643559,0,,0
U1687Z1,"Velké Popovice,Brtnice",49.912601,14.635619,0,,0
U1687Z2,"Velké Popovice,Brtnice",49.91398,14.635589,0,,0
U1688Z1,"Velké Popovice,rozc.Krámský",49.909561,14.643579,0,,0
U1689Z2,"Velké Popovice,Lojovice",49.897467,14.649183,0,,0
U3294Z1,"Kunice,U Hřbitova",49.935146,14.678084,0,,0
U2565Z1,"Kunice,Všešímy,Pardálov",49.927323,14.683226,0,,0
U4339Z1,"Kunice,Všešímy,SŠŘ",49.920187,14.688669,0,,2
U2565Z2,"Kunice,Všešímy,Pardálov",49.927323,14.683226,0,,0
U3294Z2,"Kunice,U Hřbitova",49.935254,14.678223,0,,0
U4156Z1,"Velké Popovice,Řepčice",49.902781,14.621897,0,,2
U1695Z2,"Strančice,Všechromy",49.948401,14.65663,0,,0
U1927Z1,"Strančice,Svojšovice",49.958369,14.656399,0,,0
U1928Z1,"Světice",49.970781,14.66266,0,,0
U1903Z2,"Říčany,Marvánek",49.984956,14.655194,0,,0
U2564Z1,"Kunice,Všešímy",49.923958,14.692145,0,,0
U2087Z1,"Mnichovice,Myšlín",49.939121,14.719099,0,,0
U2073Z1,"Mnichovice,hotel Myšlín",49.939131,14.735449,0,,0
U2112Z1,"Ondřejov,Třemblat,K Myšlínu",49.930623,14.752822,0,,0
U1862Z2,"Mirošovice",49.909691,14.714179,0,,0
U1860Z2,"Kunice,Dolní Lomnice,Chlum",49.914571,14.691629,0,,0
U1859Z2,"Kunice,Dolní Lomnice",49.913451,14.685349,0,,0
U1699Z1,"Kunice,rozc.Vidovice",49.920311,14.664749,0,,0
U1699Z2,"Kunice,rozc.Vidovice",49.920401,14.664339,0,,0
U1859Z1,"Kunice,Dolní Lomnice",49.913561,14.684839,0,,0
U1860Z1,"Kunice,Dolní Lomnice,Chlum",49.914581,14.691409,0,,0
U1862Z1,"Mirošovice",49.909361,14.715179,0,,0
U2086Z1,"Tehov,Lada",49.980641,14.70301,0,,0
U4436Z1,"Světice,škola",49.972235,14.665116,0,,2
U4375Z2,"Vraňany",50.317066,14.361949,0,,2
U4374Z2,"Vraňany,Škola",50.319182,14.363416,0,,2
U2831Z2,"Vraňany,Žel.st.",50.334983,14.372199,0,,2
U4373Z2,"Vraňany,U Nadjezdu",50.338149,14.377883,0,,2
U4382Z2,"Hořín",50.344716,14.462649,0,,2
U4382Z1,"Hořín",50.344428,14.462507,0,,2
U4381Z1,"Hořín,Vrbno",50.324649,14.451449,0,,2
U4380Z1,"Hořín,Zelčín",50.325682,14.439832,0,,2
U4379Z2,"Lužec n.Vlt.,Chramostek",50.329021,14.416308,0,,2
U4378Z1,"Lužec n.Vlt.,Strojírny",50.323532,14.406782,0,,2
U4377Z1,"Lužec n.Vlt.",50.321649,14.399249,0,,2
U4370Z1,"Jeviněves",50.344666,14.337866,0,,2
U4373Z1,"Vraňany,U Nadjezdu",50.338216,14.377866,0,,2
U2831Z1,"Vraňany,Žel.st.",50.335049,14.372066,0,,2
U4374Z1,"Vraňany,Škola",50.319066,14.363299,0,,2
U4377Z2,"Lužec n.Vlt.",50.321399,14.400966,0,,2
U4378Z2,"Lužec n.Vlt.,Strojírny",50.323499,14.406932,0,,2
U4379Z1,"Lužec n.Vlt.,Chramostek",50.328932,14.416432,0,,2
U4380Z2,"Hořín,Zelčín",50.325513,14.439746,0,,2
U4381Z2,"Hořín,Vrbno",50.324716,14.451399,0,,2
U4370Z2,"Jeviněves",50.345299,14.338316,0,,2
U4367Z2,"Černouček",50.360966,14.307216,0,,2
